Jetz species,Jetz_species_modified,Individuals,Count_F,Count_M,Count_U,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Secondary1,Wing_Chord,Hand-Wing Index (Claramunt 2011),Tail_Length,Mass,Habitat,Inferred species?,Species inferred from,Inferred traits?,Traits inferred,Species traits inferred from
Mesembrinibis cayennensis,Mesembrinibis_cayennensis,8,4,3,1,116.26625,92.49875,11.67,16.085,60.3625,76.525,229.475,298.25,24.94867571,153.75,756,2,NO,,NO,,
Mesitornis unicolor,Mesitornis_unicolor,3,1,1,1,21.36666667,8.466666667,3.033333333,4.433333333,39.36666667,10.46666667,104.5333333,115,9.107669617,101.6666667,148,1,NO,,NO,,
Mesitornis variegatus,Mesitornis_variegatus,1,0,1,0,29.2,11.4,3.6,4.6,33.5,11.1,97.9,109,10.18348624,95,113,1,NO,,NO,,
Mesophoyx intermedia,Mesophoyx_intermedia,14,7,5,2,81.55142857,60.34285714,10.44785714,13.88,105.0828571,89.78428571,207.8785714,297.6628571,30.27796527,116.3571429,458.83,3,NO,,NO,,
Mesopicos elliotii,Mesopicos_elliotii,5,2,3,0,21.8,17.11,5.67,5.928,17.586,15.058,76.62,91.678,16.43046632,63.288,37.2,1,NO,,NO,,
Mesopicos goertae,Mesopicos_goertae,4,2,2,0,24.35,19.725,6.175,6.8,19.1,24.025,84.475,108.5,22.13034627,56.75,44.48,2,NO,,NO,,
Mesopicos griseocephalus,Mesopicos_griseocephalus,4,2,2,0,26.75,20.975,6.25,6.175,19.95,22.25,85.75,108,20.6124278,65.75,40.89,1,NO,,NO,,
Metabolus rugensis,Metabolus_rugensis,4,2,2,0,24.775,16.3,4.975,6.225,24.725,17.05,83.7,100.75,16.91545735,88.25,52,2,NO,,NO,,
Metallura aeneocauda,Metallura_aeneocauda,4,4,0,0,18.9925,13.7275,1.8325,2.005,4.9025,31.31,24.44,55.75,55.73210918,39.5,5.2,1,NO,,NO,,
Metallura baroni,Metallura_baroni,1,1,0,0,16.2,11.2,1.6,1.5,5.5,33,22.4,55.4,59.566787,38,4.3,2,NO,,NO,,
Metallura eupogon,Metallura_eupogon,4,1,3,0,17.7775,12.2475,1.42,1.89,5.1975,36.565,23.035,59.6,61.32984028,41.75,4.6,2,NO,,NO,,
Metallura iracunda,Metallura_iracunda,5,2,3,0,14.416,11.1,0.948,1.026,5.556,37.258,20.842,58.1,64.09472597,40.98,3.85,2,NO,,NO,,
Metallura odomae,Metallura_odomae,4,2,2,0,20.15,14.305,1.615,1.8025,5.765,35.305,22.695,58,60.82424827,43.25,5.1,1,NO,,NO,,
Metallura phoebe,Metallura_phoebe,4,2,2,0,21.7,15.25,2.2,1.85,6.925,41.575,29.05,70.625,58.87620893,49.375,5.4,2,NO,,NO,,
Metallura theresiae,Metallura_theresiae,4,3,1,0,17.1,12.51666667,1.46,2.0625,5.3025,33.8225,24.4625,58.285,57.88472045,38.7,4.9,2,NO,,NO,,
