BirdTree,Genera
Euphonia_cyanocephala,Euphonia
Molothrus_oryzivorus,Molothrus
Paroaria_capitata,Paroaria
Saltator_similis,Saltator
Sporophila_leucoptera,Sporophila
Xanthopsar_flavus,Xanthopsar
Aratinga_acuticaudata,Aratinga
Oryzoborus_angolensis,Oryzoborus
Sporophila_hypoxantha,Sporophila
Campylopterus_largipennis,Campylopterus
Celeus_undatus,Celeus
Sturnella_magna,Sturnella
Vireo_olivaceus,Vireo
Chelidoptera_tenebrosa,Chelidoptera
Chloroceryle_inda,Chloroceryle
Chlorostilbon_mellisugus,Chlorostilbon
Chordeiles_acutipennis,Chordeiles
Chrysolampis_mosquitus,Chrysolampis
Strix_huhula,Strix
Strix_virgata,Strix
Coccyzus_euleri,Coccyzus
Platyrinchus_saturatus,Platyrinchus
Crypturellus_cinereus,Crypturellus
Daptrius_ater,Daptrius
Crypturellus_parvirostris,Crypturellus
Crypturellus_variegatus,Crypturellus
Deroptyus_accipitrinus,Deroptyus
Diopsittaca_nobilis,Diopsittaca
Dromococcyx_phasianellus,Dromococcyx
Elanoides_forficatus,Elanoides
Pionus_fuscus,Pionus
Florisuga_mellivora,Florisuga
Galbula_dea,Galbula
Galbula_ruficauda,Galbula
Geotrygon_montana,Geotrygon
Glaucidium_hardyi,Glaucidium
Harpia_harpyja,Harpia
Pionus_menstruus,Pionus
Harpagus_bidentatus,Harpagus
Helicolestes_hamatus,Helicolestes
Heliothryx_auritus,Heliothryx
Caprimulgus_maculicaudus,Caprimulgus
Pygiptila_stellaris,Pygiptila
Hylocharis_cyanus,Hylocharis
Pyriglena_leuconota,Pyriglena
Jacamerops_aureus,Jacamerops
Casiornis_fuscus,Casiornis
Cercomacra_laeta,Cercomacra
Certhiaxis_mustelinus,Certhiaxis
Colonia_colonus,Colonia
Conopophaga_roberti,Conopophaga
Corythopis_torquatus,Corythopis
Cotinga_cayana,Cotinga
Cyanocompsa_cyanoides,Cyanocompsa
Leptotila_rufaxilla,Leptotila
Leucopternis_kuhli,Leucopternis
Lophornis_gouldii,Lophornis
Lophostrix_cristata,Lophostrix
Odontophorus_gujanensis,Odontophorus
Myrmeciza_atrothorax,Myrmeciza
Myrmotherula_hauxwelli,Myrmotherula
Pipra_pipra,Pipra
Pipra_rubrocapilla,Pipra
Pitangus_lictor,Pitangus
Notharchus_tectus,Notharchus
Melanerpes_cruentatus,Melanerpes
Megascops_watsonii,Megascops
Neomorphus_squamiger,Neomorphus
Micrastur_mintoni,Micrastur
Micrastur_mirandollei,Micrastur
Micrastur_ruficollis,Micrastur
Momotus_momota,Momotus
Monasa_morphoeus,Monasa
Monasa_nigrifrons,Monasa
Morphnus_guianensis,Morphnus
Polytmus_theresiae,Polytmus
Nyctibius_leucopterus,Nyctibius
Caprimulgus_nigrescens,Caprimulgus
Nyctiprogne_leucopyga,Nyctiprogne
Bucco_tamatia,Bucco
Panyptila_cayennensis,Panyptila
Penelope_superciliaris,Penelope
